College,City,State,SAT,ACT,price-without-aid,price-with-avg-grant,students-with-need-who-get-grants,Average-Student-Debt,Early-career-earnings
Valparaiso University,Valparaiso, IN,1100,26,54300,24300,1.00,27000,50700
University of Tulsa,Tulsa, OK,1250,30,60900,29300,0.36,27000,55800
North Central College,Naperville, IL,1080,25,52500,26000,1.00,25000,47200
Covenant College,Lookout Mountain, GA,1180,27,47000,26600,0.99,21500,41700
Simpson College,Indianola, IA,1080,24,51400,25100,0.98,27000,46500
Agnes Scott College,Decatur, GA,NA,NA,55400,22900,1.00,27000,42900
SUNY at Fredonia,Fredonia, NY,1010,25,24200,17800,0.74,25000,41800
Christopher Newport University,Newport News, VA,1160,26,30400,24300,0.65,25000,47300
St Francis College,Brooklyn Heights, NY,930,21,45600,15900,0.98,24400,49300
University of Mississippi,Oxford, MS,1120,26,25400,15800,0.85,20000,45700
Creighton University,Omaha, NE,1170,27,54700,32600,0.96,25300,50000
Northwestern College,Orange City, IA,1040,25,44700,24300,0.96,25100,42200
The College of Saint Rose,Albany, NY,NA,NA,48400,25000,0.81,23500,41700
Walsh University,North Canton, OH,1000,22,44200,21700,0.80,27800,44900
Ohio Wesleyan University,Delaware, OH,NA,NA,61800,30000,1.00,27000,47800
University of Wisconsin-Stevens Point,Stevens Point, WI,NA,23,19400,13500,0.74,24400,43000
Saint Ambrose University,Davenport, IA,NA,23,45900,25800,0.99,25800,44500
University of Hawaii at Manoa,Honolulu, HI,1080,23,30200,14500,0.94,18800,48600
Northern State University,Aberdeen, SD,960,21,21800,15400,0.83,24400,41700
Mount St Mary's University,Emmitsburg, MD,1050,22,57400,32700,0.99,26000,46400
University of North Carolina Wilmington,Wilmington, NC,1200,24,25200,17400,0.92,20500,43400
Earlham College,Richmond, IN,NA,NA,60100,24200,1.00,26000,46000
Oberlin College,Oberlin, OH,1350,31,73000,45200,0.99,26600,49400
Whittier College,Whittier, CA,1030,23,62900,27500,0.88,25500,47000
University of North Carolina at Asheville,Asheville, NC,1150,26,20400,12400,0.94,20600,40900
University of North Texas,Denton, TX,1090,24,24500,11200,0.68,20000,46800
University of the Sciences,Philadelphia, PA,1170,26,61500,37400,0.68,27000,54000
Grace College and Theological Seminary,Winona Lake, IN,1050,24,34800,19400,0.95,21500,41100
Texas A & M University-Commerce,Commerce, TX,980,21,22200,9700,0.90,20500,44200
Salem State University,Salem, MA,990,22,26900,17800,N/A,24000,45600
Carroll College,Helena, MT,1110,25,49700,27300,0.99,27000,45600
Nazareth College,Rochester, NY,NA,NA,50600,30500,1.00,26500,41400
St Bonaventure University,Saint Bonaventure, NY,1050,24,48500,25100,1.00,27000,45700
Robert Morris University Illinois,Chicago, IL,NA,NA,46400,22800,0.91,24500,42600
University of North Florida,Jacksonville, FL,1130,24,21700,14500,0.64,16000,45600
University of Kentucky,Lexington, KY,1130,26,30200,19200,0.46,22800,48400
Chapman University,Orange, CA,1210,28,71100,43700,0.90,20900,49200
The University of Tennessee-Knoxville,Knoxville, TN,1150,27,31700,22300,0.88,20000,48000
Pratt Institute-Main,Brooklyn, NY,1170,27,66900,47500,0.50,26300,49900
King's College,Wilkes-Barre, PA,NA,NA,53300,27800,1.00,27000,44100
Eastern Illinois University,Charleston, IL,NA,21,24200,15900,0.75,23700,43800
Hanover College,Hanover, IN,1050,25,51700,24600,1.00,27000,44800
Baldwin Wallace University,Berea, OH,NA,NA,47100,24000,1.00,27000,44500
Rhode Island School of Design,Providence, RI,1210,27,69200,42300,0.91,27000,50500
Shippensburg University of Pennsylvania,Shippensburg, PA,970,21,28900,19700,0.74,25000,46200
Alfred University,Alfred, NY,1030,23,44700,23700,0.99,27000,48600
University of Dallas,Irving, TX,1170,27,56200,27100,0.98,24000,49100
Judson University,Elgin, IL,1070,22,43800,26500,0.34,23000,41900
Westminster College - Utah,Salt Lake City, UT,1110,25,48900,26400,0.99,25000,48800
Bridgewater State University,Bridgewater, MA,990,22,26800,16900,0.75,24600,44700
Harding University,Searcy, AR,1100,25,30700,19700,0.92,27000,46100
University of Missouri-St Louis,Saint Louis, MO,1010,24,25300,9400,0.82,21000,45800
Goldey-Beacom College,Wilmington, DE,NA,NA,39600,16900,N/A,23700,47700
Wilkes University,Wilkes-Barre, PA,1010,23,55300,26900,0.98,26000,48200
Benedictine College,Atchison, KS,1060,25,44700,26600,1.00,27000,45800
Marian University - Indiana,Indianapolis, IN,1020,22,49100,22600,0.43,27000,47600
Western Carolina University,Cullowhee, NC,1020,23,22000,14700,0.91,22000,42400
University of Central Missouri,Warrensburg, MO,NA,23,20000,14600,0.62,22400,44400
SUNY Buffalo State,Buffalo, NY,880,20,25800,12900,0.90,21400,40800
Robert Morris University,Moon Township, PA,1040,24,47400,26300,0.98,27000,47400
Geneva College,Beaver Falls, PA,1070,25,39000,21700,1.00,25300,44800
Coe College,Cedar Rapids, IA,1150,25,56600,23500,1.00,28100,46000
Reed College,Portland, OR,1380,31,71500,29900,0.98,16000,51100
Union University,Jackson, TN,1160,27,53000,27700,0.59,24800,44300
Dominican College of Blauvelt,Orangeburg, NY,890,19,46700,21200,0.96,26000,47800
The Master's University and Seminary,Santa Clarita, CA,1080,25,48900,28600,0.97,20500,45100
Cabrini University,Radnor, PA,970,21,47900,26800,1.00,26800,46000
George Fox University,Newberg, OR,1080,24,50100,30000,1.00,22400,49300
Southern Connecticut State University,New Haven, CT,930,21,26500,16100,0.66,23300,46600
Keiser University-Ft Lauderdale,Fort Lauderdale, FL,NA,NA,32200,28300,N/A,25800,42500
Ashland University,Ashland, OH,1060,23,34800,22100,0.91,26300,41800
New College of Florida,Sarasota, FL,1250,29,21100,12800,0.92,14900,43700
