College Name	City	State	SAT	ACT	price-without-aid	price-with-avg-grant	students-with-need-who-get-grants	Average-Student-Debt	Early-career-earnings
California Lutheran University	Thousand Oaks	 CA	1100	25	"$61,300 "	"$31,200 "	99%	"$23,000 "	"$48,000 "
University of South Carolina-Columbia	Columbia	 SC	1210	28	"$27,700 "	"$21,400 "	44%	"$23,300 "	"$46,900 "
University of Missouri-Columbia	Columbia	 MO	1160	26	"$27,200 "	"$17,500 "	80%	"$21,900 "	"$49,100 "
Millikin University	Decatur	 IL	1000	23	"$48,800 "	"$23,600 "	89%	"$27,000 "	"$44,300 "
University of Kansas	Lawrence	 KS	NA	26	"$25,900 "	"$19,300 "	76%	"$20,500 "	"$49,500 "
Tennessee State University	Nashville	 TN	NA	NA	"$21,800 "	"$10,300 "	80%	"$28,000 "	"$46,100 "
University of Idaho	Moscow	 ID	1050	24	"$21,800 "	"$15,900 "	73%	"$24,300 "	"$49,300 "
University of Maryland-Baltimore County	Baltimore	 MD	1220	27	"$28,200 "	"$16,500 "	72%	"$21,200 "	"$54,000 "
St John's University-New York	Queens	 NY	1080	25	"$61,300 "	"$28,500 "	78%	"$26,000 "	"$51,800 "
University of Saint Francis-Fort Wayne	Fort Wayne	 IN	1000	22	"$43,200 "	"$18,300 "	99%	"$25,300 "	"$43,600 "
University of Denver	Denver	 CO	1210	29	"$66,900 "	"$35,400 "	98%	"$23,700 "	"$51,700 "
Drexel University	Philadelphia	 PA	1190	28	"$70,400 "	"$41,900 "	95%	"$26,200 "	"$58,400 "
University of Minnesota-Morris	Morris	 MN	1150	25	"$24,500 "	"$12,400 "	96%	"$19,500 "	"$44,400 "
Bellarmine University	Louisville	 KY	1070	25	"$60,700 "	"$26,600 "	98%	"$25,000 "	"$46,900 "
Wentworth Institute of Technology	Boston	 MA	1120	25	"$55,400 "	"$39,300 "	84%	"$27,000 "	"$59,200 "
East Carolina University	Greenville	 NC	1050	22	"$22,500 "	"$13,800 "	74%	"$24,800 "	"$45,600 "
Cardinal Stritch University	Milwaukee	 WI	1010	20	"$43,700 "	"$18,600 "	94%	"$27,000 "	"$48,000 "
University of Maine at Farmington	Farmington	 ME	NA	NA	"$23,100 "	"$15,400 "	91%	"$27,000 "	"$40,100 "
Westmont College	Santa Barbara	 CA	1160	26	"$62,400 "	"$37,600 "	100%	"$25,100 "	"$50,700 "
Huntington University	Huntington	 IN	1030	22	"$38,200 "	"$23,100 "	77%	"$27,000 "	"$37,700 "
Montana State University	Bozeman	 MT	1130	25	"$21,600 "	"$16,100 "	69%	"$24,000 "	"$50,900 "
Maryville University of Saint Louis	Saint Louis	 MO	1030	25	"$47,200 "	"$28,600 "	97%	"$23,700 "	"$45,100 "
Bay Path University	Longmeadow	 MA	960	22	"$50,500 "	"$23,600 "	100%	"$24,000 "	"$41,800 "
Clarke University	Dubuque	 IA	960	23	"$47,000 "	"$25,500 "	100%	"$26,000 "	"$42,600 "
Mount Vernon Nazarene University	Mount Vernon	 OH	1050	23	"$42,100 "	"$20,700 "	99%	"$26,500 "	"$41,300 "
Moravian College	Bethlehem	 PA	1010	23	"$59,300 "	"$31,400 "	100%	"$27,000 "	"$49,600 "
University of Oregon	Eugene	 OR	1100	25	"$27,500 "	"$16,500 "	73%	"$21,100 "	"$47,600 "
Southwest Minnesota State University	Marshall	 MN	920	21	"$21,300 "	"$15,900 "	71%	"$21,700 "	"$42,300 "
Loyola University Chicago	Chicago	 IL	1150	27	"$61,400 "	"$37,500 "	96%	"$25,000 "	"$49,600 "
Dominican University	River Forest	 IL	1060	23	"$46,100 "	"$19,600 "	99%	"$25,000 "	"$46,600 "
Bloomsburg University of Pennsylvania	Bloomsburg	 PA	970	21	"$24,900 "	"$17,200 "	64%	"$26,000 "	"$46,500 "
Saint Anselm College	Manchester	 NH	1140	26	"$58,200 "	"$34,500 "	100%	"$27,000 "	"$52,500 "
Fitchburg State University	Fitchburg	 MA	990	21	"$24,600 "	"$15,400 "	70%	"$22,700 "	"$45,400 "
Lewis & Clark College	Portland	 OR	1280	29	"$63,600 "	"$38,500 "	99%	"$24,500 "	"$46,800 "
Elizabethtown College	Elizabethtown	 PA	1080	25	"$59,900 "	"$30,600 "	100%	"$27,000 "	"$46,600 "
University of Wisconsin-Whitewater	Whitewater	 WI	1000	23	"$18,200 "	"$13,800 "	62%	"$25,000 "	"$46,100 "
Seattle Pacific University	Seattle	 WA	1110	24	"$57,800 "	"$31,300 "	100%	"$25,600 "	"$49,000 "
Rivier University	Nashua	 NH	NA	NA	"$49,300 "	"$27,000 "	97%	"$25,500 "	"$47,500 "
University of Arkansas	Fayetteville	 AR	1120	26	"$25,500 "	"$16,500 "	76%	"$21,500 "	"$49,100 "
SUNY College at Oswego	Oswego	 NY	1100	25	"$24,700 "	"$17,600 "	87%	"$21,500 "	"$42,800 "
Fairleigh Dickinson University-Metropolitan Campus	Teaneck	 NJ	970	20	"$58,000 "	"$19,300 "	84%	"$26,000 "	"$47,400 "
Rockhurst University	Kansas City	 MO	1080	26	"$52,900 "	"$25,500 "	100%	"$20,500 "	"$51,500 "
University of Detroit Mercy	Detroit	 MI	1120	25	"$58,800 "	"$24,000 "	98%	"$23,500 "	"$50,900 "
